diario,titulo,contenido,fecha de extracción,contenido_depurado,resut_sentim,mejor_etiqueta,mejor_score
www.ambito.com,Los idiomas y la dimensión cultural como factores de éxito en los vínculos comerciales,"<p>Diálogo con Florencia Pesce, Directora Académica del Centro Universitario de Idiomas (CUI).</p>","Mon, 13 May 2024 00:00:00 -0300","Diálogo con Florencia Pesce, Directora Académica del Centro Universitario de Idiomas (CUI).",NEU,mercados emergentes,0.34574827551841736
www.ambito.com,"Hot Sale: qué ofertas, descuentos y cuotas ofrecerán las marcas","<p>En esta oportunidad participarán casi 1.000 marcas. Como viene ocurriendo en los últimos años, se espera que muchos usuarios hagan compras cotidianas para stockearse de productos y tratar de darle pelea a la inflación, o adquirir bienes que vienen postergando a la espera de ofertas o financiación.</p>","Sun, 12 May 2024 16:38:00 -0300","En esta oportunidad participarán casi 1.000 marcas. Como viene ocurriendo en los últimos años, se espera que muchos usuarios hagan compras cotidianas para stockearse de productos y tratar de darle pelea a la inflación, o adquirir bienes que vienen postergando a la espera de ofertas o financiación.",NEU,mercados emergentes,0.3299473524093628
www.ambito.com,"Quién es María Fernanda Amorim, la multimillonaria más poderosa de Portugal gracias a los corchos","<p>Viuda del empresario Américo Amorim, cuenta con una fortuna de 4300 millones de euros, producto de la mayor empresa de corchos a nivel mundial.</p>","Sun, 12 May 2024 16:30:00 -0300","Viuda del empresario Américo Amorim, cuenta con una fortuna de 4300 millones de euros, producto de la mayor empresa de corchos a nivel mundial.",POS,análisis macroeconómico,0.31453627347946167
www.ambito.com,"Quién es Timothy Dexter, el multimillonario con más suerte de toda la historia que fingió su muerte",<p>Conocé la increíble historia de este extravagante millonario estadounidense del siglo XIII.</p>,"Sun, 12 May 2024 14:00:00 -0300",Conocé la increíble historia de este extravagante millonario estadounidense del siglo XIII.,POS,oportunidades de inversión,0.3630678057670593
www.ambito.com,"Quién es Anderson Hunt Brown, el hijo de esclavos que se convirtió en un poderoso multimillonario de Estados Unidos","<p>Nacido en una familia de esclavos liberados, la pasión de Anderson Hunt Brown por mejorar su comunidad lo llevó a convertirse en un magnate del sector inmobiliario.</p>","Sun, 12 May 2024 13:15:00 -0300","Nacido en una familia de esclavos liberados, la pasión de Anderson Hunt Brown por mejorar su comunidad lo llevó a convertirse en un magnate del sector inmobiliario.",POS,políticas monetarias,0.258981317281723
www.ambito.com,"Murió Jim Simons, pionero de la inversión cuántica y leyenda de Wall Street","<p>Conocé la historia del hombre que dejó su zona de confort, se animó a poner su dinero en la Bolsa y hoy es considerado el mejor inversor de la historia.</p>","Sun, 12 May 2024 12:08:00 -0300","Conocé la historia del hombre que dejó su zona de confort, se animó a poner su dinero en la Bolsa y hoy es considerado el mejor inversor de la historia.",POS,mercados emergentes,0.3374609649181366
www.ambito.com,La lucrativa alianza de las superestrellas del pop y la moda,<p>El vestuario lucido en el escenario permite a los diseñadores obtener una publicidad masiva. Los megaconciertos de estrellas no solamente es un éxito de taquilla.</p>,"Sun, 12 May 2024 00:00:00 -0300",El vestuario lucido en el escenario permite a los diseñadores obtener una publicidad masiva. Los megaconciertos de estrellas no solamente es un éxito de taquilla.,POS,mercados emergentes,0.5113016366958618
www.ambito.com,Hot sale: 4 tecnologías para mejorar la atención al cliente,"<p>El uso de chatbots, CRM y otras herramientas tecnológicas cobra mayor relevancia para optimizar las operaciones, mejorar la personalización y enriquecer la reputación de la marca. </p>","Sat, 11 May 2024 21:12:53 -0300","El uso de chatbots, CRM y otras herramientas tecnológicas cobra mayor relevancia para optimizar las operaciones, mejorar la personalización y enriquecer la reputación de la marca.",POS,tendencias del mercado,0.4056900143623352
www.ambito.com,"Quién es Robert Kuok, el multimillonario más poderoso de Malasia gracias al azúcar y el arroz",<p>Descubrí la historia del malayo que arrancó como un simple empleado y terminó creando una empresa multinacional que lo transformó en millonario.</p>,"Sat, 11 May 2024 18:30:00 -0300",Descubrí la historia del malayo que arrancó como un simple empleado y terminó creando una empresa multinacional que lo transformó en millonario.,NEG,políticas monetarias,0.3328034281730652
www.ambito.com,El increíble motivo por el que Warren Buffet acumula 200.000 millones de dólares en efectivo,<p>Las recientes declaraciones de Buffett revelan su preocupación por la falta de oportunidades claras en el mercado de la bolsa de valores. Enteráte cuales son las razones que preocupan al magnate.</p>,"Sat, 11 May 2024 13:00:00 -0300",Las recientes declaraciones de Buffett revelan su preocupación por la falta de oportunidades claras en el mercado de la bolsa de valores. Enteráte cuales son las razones que preocupan al magnate.,NEG,análisis macroeconómico,0.5359305143356323
